drugbank_id	chebi_id	MeSH
DB00271	59731	D003973
DB00271	59733	C016826
DB00271	59733	D003973
DB00272	31280	D001625
DB00272	59170	D001625
DB00273	63631	C052342
DB00274	3489	D015311
DB00274	3490	D015311
DB00274	52439	D015311
DB00275	48416	D000068557
DB00276	2687	D000677
DB00277	28177	D000628
DB00277	28177	D013806
DB00277	28177	D031210
DB00279	18258	D014284
DB00279	533015	D014284
DB00279	60308	D014284
DB00279	6484	D014284
DB00280	4657	D004206
DB00281	6456	D008012
DB00283	3738	D002974
DB00283	3739	D002974
DB00284	2376	D020909
DB00285	9943	D000069470
DB00285	9944	D000069470
DB00286	17474	D004966
DB00286	29101	D004966
DB00286	60050	D004966
DB00286	8389	D004966
DB00287	746859	D000069557
DB00288	31199	C012716
DB00289	127342	D000069445
DB00289	331697	D000069445
DB00290	3139	D001761
DB00291	28830	D002699
DB00291	28830	D011238
DB00292	4910	D005045
DB00294	50777	C044815
DB00295	17303	C008549
DB00295	17303	D003932
DB00295	17303	D009020
DB00295	58097	C008549
DB00295	58097	D003932
DB00295	58097	D009020
DB00296	34954	C037663
DB00296	60802	C037663
DB00296	60803	C037663
DB00296	8890	C037663
DB00297	31322	C472824
DB00297	31322	D002045
DB00297	31772	C472824
DB00297	31772	D002045
DB00297	3215	C472824
DB00297	3215	D002045
DB00297	60789	C472824
DB00297	60789	D002045
DB00297	60790	C472824
DB00297	60790	D002045
DB00297	6149	C472824
DB00297	6149	D002045
DB00297	77431	C472824
DB00297	77431	D002045
DB00297	77441	C472824
DB00297	77441	D002045
DB00297	77442	C472824
DB00297	77442	D002045
DB00297	77449	C472824
DB00297	77449	D002045
DB00297	77453	C472824
DB00297	77453	D002045
DB00297	77454	C472824
DB00297	77454	D002045
DB00297	77455	C472824
DB00297	77455	D002045
DB00297	77457	C472824
DB00297	77457	D002045
DB00297	77458	C472824
DB00297	77458	D002045
DB00297	77459	C472824
DB00297	77459	D002045
DB00298	51066	C035289
DB00299	7956	C053539
DB00300	63625	C442442
DB00300	63625	D000068698
DB00300	63716	C442442
DB00300	63716	D000068698
DB00301	31615	D005436
DB00301	5098	D005436
DB00301	52037	D005436
DB00301	52040	D005436
DB00302	48669	D014148
DB00303	404903	C446479
DB00303	60070	C446479
DB00303	60071	C446479
DB00304	4453	D017135
DB00305	27504	D016685
DB00307	50859	C095105
DB00309	32295	D014751
DB00309	36373	D014751
DB00310	3654	D002752
DB00311	101096	D005016
DB00312	7983	D010424
DB00313	39867	D014635
DB00313	60654	D014635
DB00315	10124	C089750
DB00316	46195	D000082
DB00317	49668	C419708
DB00318	16714	D003061
DB00318	57871	D003061
DB00319	52433	D010878
DB00319	8232	D010878
DB00319	8233	D010878
DB00320	4562	D004087
DB00320	59756	D004087
DB00320	59757	D004087
DB00321	2666	D000639
DB00322	60761	D005467
DB00323	63630	C066340
DB00324	31625	D005469
DB00325	29121	D009599
DB00325	29272	D009599
DB00325	29306	D009599
DB00325	29321	D009599
DB00325	49883	D009599
DB00325	7596	D009599
DB00325	9179	D009599
DB00326	29108	C007852
DB00326	3314	C007852
DB00326	59200	C007852
DB00326	59201	C007852
DB00326	67270	C007852
DB00327	5790	D004091
DB00327	5791	D004091
DB00328	49662	D007213
DB00330	4877	D004977
DB00330	4878	D004977
DB00331	6801	D008687
DB00332	15858	D009241
DB00332	46659	D009241
DB00332	47266	D009241
DB00332	553542	D009241
DB00332	5956	D009241
DB00332	5957	D009241
DB00333	50140	D008691
DB00333	6807	D008691
DB00334	7735	C076029
DB00335	2904	D001262
DB00335	31556	D001262
DB00335	55352	D001262
DB00338	50275	D009853
DB00338	50275	D064098
DB00338	77260	D009853
DB00338	77260	D064098
DB00338	77262	D009853
DB00338	77262	D064098
DB00339	45285	D011718
DB00340	51024	C005111
DB00340	51025	C005111
DB00341	3561	D017332
DB00343	101278	D004110
DB00343	645509	D004110
DB00343	82812	D004110
DB00343	82813	D004110
DB00343	82814	D004110
DB00343	82816	D004110
DB00343	82817	D004110
DB00344	8597	D011530
DB00344	8598	D011530
DB00345	104011	
DB00345	31204	
DB00345	64703	
DB00346	32286	C047638
DB00346	51141	C047638
DB00348	50378	C077073
DB00349	31413	C012255
DB00350	6942	D008914
DB00351	6723	D008535
DB00351	6723	D019290
DB00352	9555	D013866
DB00354	3205	C046894
DB00354	61192	C046894
DB00354	61193	C046894
DB00355	161680	D001398
DB00356	3655	D002753
DB00357	2654	D000616
DB00357	53788	D000616
DB00357	53790	D000616
DB00358	63681	D015767
DB00358	63684	D015767
DB00358	63687	D015767
DB00359	9328	D013411
DB00360	15372	C003402
DB00360	32120	C003402
DB00360	52447	C003402
DB00360	59560	C003402
DB00360	64241	C003402
DB00360	64491	C003402
DB00361	32296	C030852
DB00361	480999	C030852
DB00361	53750	C030852
DB00362	55346	C102786
DB00363	3766	D003024
DB00364	15377	D013392
DB00364	16234	D013392
DB00364	29374	D013392
DB00364	29375	D013392
DB00364	29412	D013392
DB00364	33806	D013392
DB00364	33811	D013392
DB00364	33813	D013392
DB00364	41981	D013392
DB00364	49470	D013392
DB00366	51380	C035385
DB00366	51380	D004319
DB00367	50900	D009644
DB00367	50900	D016912
DB00367	6443	D009644
DB00367	6443	D016912
DB00367	7630	D009644
DB00367	7630	D016912
DB00368	18357	D009638
DB00368	18357	D015103
DB00368	33569	D009638
DB00368	33569	D015103
DB00368	33571	D009638
DB00368	33571	D015103
DB00368	72587	D009638
DB00368	72587	D015103
DB00369	3696	C059262
DB00369	530615	C059262
DB00369	59495	C059262
DB00370	6950	C035133
DB00372	32216	D013847
DB00372	9544	D013847
DB00373	39465	D013999
DB00373	39466	D013999
DB00373	60787	D013999
DB00373	9599	D013999
DB00373	9600	D013999
DB00374	50861	C427248
DB00374	50863	C427248
DB00375	18662	D003084
DB00375	37144	D003084
DB00375	37145	D003084
DB00375	49798	D003084
